Day,Month,Year,mu_12699
1,1,2013,25.319999999999997
1,1,2014,51.96979166666666
1,2,2014,70.62631944444445
1,3,2014,66.50847222222222
1,4,2013,33.47333333333333
1,4,2014,66.16506944444444
1,5,2013,58.71305555555555
1,5,2014,58.430833333333325
1,6,2013,55.53999999999999
1,7,2013,53.9327
1,8,2013,52.649652777777774
1,9,2013,52.08881944444444
1,10,2013,27.857361111111107
1,11,2012,25.323194444444443
1,11,2013,27.637152777777775
1,12,2012,25.3008
2,1,2014,51.983194444444436
2,2,2014,69.24249999999999
2,3,2014,66.45180555555555
2,4,2013,33.274097222222224
2,4,2014,65.51993055555556
2,5,2013,58.60854166666667
2,5,2014,58.33527777777778
2,6,2013,55.430763888888876
2,7,2013,53.87229166666666
2,8,2013,52.621180555555554
2,9,2013,52.060624999999995
2,10,2013,27.83361111111111
2,11,2012,25.314930555555556
2,11,2013,27.632361111111113
2,12,2012,25.301805555555553
3,1,2014,52.01409722222222
3,2,2014,71.4167361111111
3,3,2014,68.36402777777778
3,4,2013,33.03729166666667
3,4,2014,64.84805555555555
3,5,2013,58.50465277777778
3,5,2014,58.22493055555555
3,6,2013,55.33868055555556
3,7,2013,53.81041666666667
3,8,2013,52.58819444444445
3,9,2013,52.04013888888889
3,10,2013,27.81722222222222
3,11,2012,25.31236111111111
3,11,2013,27.634930555555556
3,12,2012,25.301944444444445
4,1,2014,52.01069444444444
4,2,2014,70.79638888888888
4,3,2014,70.2325
4,4,2013,34.34611111111111
4,4,2014,64.66937499999999
4,5,2013,58.3607638888889
4,5,2014,58.12305555555555
4,6,2013,55.26326388888888
4,7,2013,53.79152777777777
4,8,2013,52.579583333333325
4,9,2013,52.030347222222225
4,10,2013,27.80645833333333
4,11,2012,25.318055555555553
4,11,2013,27.627847222222222
4,12,2012,25.292638888888888
5,1,2014,52.026041666666664
5,2,2014,70.19486111111111
5,3,2014,70.56583333333333
5,4,2013,34.2275
5,4,2014,64.66930555555555
5,5,2013,58.26868055555555
5,5,2014,58.02319444444444
5,6,2013,55.19736111111111
5,7,2013,53.77756944444445
5,8,2013,52.55479166666667
5,9,2013,52.01534722222222
5,10,2013,27.80284722222222
5,11,2012,25.328541666666666
5,11,2013,27.614305555555553
5,12,2012,25.29048611111111
6,1,2014,56.73555555555556
6,2,2014,69.60930555555555
6,3,2014,72.32243055555556
6,4,2013,33.782986111111114
6,4,2014,64.2404861111111
6,5,2013,58.13625
6,5,2014,58.0617361111111
6,6,2013,55.20375
6,7,2013,53.72965277777777
6,8,2013,52.52576388888889
6,9,2013,51.981875
6,10,2013,27.80006944444444
6,11,2012,25.34506944444444
6,11,2013,27.604305555555555
6,12,2012,25.27659722222222
7,1,2014,63.67173611111111
7,2,2014,69.57166666666666
7,3,2014,71.26340277777777
7,4,2013,33.442499999999995
7,4,2014,63.76493055555555
7,5,2013,58.042361111111106
7,5,2014,57.87493055555555
7,6,2013,55.15090277777777
7,7,2013,53.68000000000001
7,8,2013,52.506944444444436
7,9,2013,51.974513888888886
7,10,2013,27.796944444444442
7,11,2012,25.359305555555554
7,11,2013,27.597430555555555
7,12,2012,25.278402777777774
8,1,2014,62.37576388888888
8,2,2014,71.23694444444445
8,3,2014,70.78590277777776
8,4,2013,33.140902777777775
8,4,2014,63.64916666666667
8,5,2013,57.951319444444444
8,5,2014,57.754374999999996
8,6,2013,55.07097222222221
8,7,2013,53.653194444444445
8,8,2013,52.50541666666666
8,9,2013,51.945208333333326
8,10,2012,26.057692307692307
8,10,2013,27.79347222222222
8,11,2012,25.364444444444445
8,11,2013,27.598541666666666
8,12,2012,25.273402777777775
9,1,2014,61.780833333333334
9,2,2014,70.32715277777778
9,3,2014,72.149375
9,4,2013,32.89708333333333
9,4,2014,63.32208333333333
9,5,2013,57.86625000000001
9,5,2014,57.66555555555556
9,6,2013,54.991458333333334
9,7,2013,53.60743055555555
9,8,2013,52.51090277777778
9,9,2013,51.942083333333336
9,10,2012,26.04145833333333
9,10,2013,27.789166666666667
9,11,2012,25.3675
9,11,2013,27.61861111111111
9,12,2012,25.274375
10,1,2014,60.79486111111112
10,2,2014,69.846875
10,3,2014,71.67902777777778
10,4,2013,32.681466666666665
10,4,2014,63.02166666666666
10,5,2013,57.80034722222223
10,5,2014,57.59277777777777
10,6,2013,54.91687499999999
10,7,2013,53.57541666666666
10,8,2013,52.51034722222222
10,9,2013,51.942638888888894
10,10,2012,26.01486111111111
