Day,Month,Year,soil_moisture,Probe
12,4,2013,32.53277778,12699
12,4,2014,62.72652778,12699
12,5,2013,57.65076389,12699
12,5,2014,57.42215278,12699
12,6,2013,54.78027778,12699
12,7,2013,53.50201389,12699
12,8,2013,52.47256944,12699
12,9,2013,51.90756944,12699
12,10,2012,25.93611111,12699
12,10,2013,27.75354167,12699
12,11,2012,25.31972222,12699
12,11,2013,27.64527778,12699
12,12,2012,25.26486111,12699
13,1,2014,58.96909722,12699
13,2,2014,68.715,12699
13,3,2013,35.69819444,12699
13,3,2014,71.33347222,12699
13,4,2013,32.41895833,12699
13,4,2014,62.53666667,12699
13,5,2013,57.55569444,12699
13,5,2014,57.32673611,12699
13,6,2013,54.72965278,12699
13,7,2013,53.43451389,12699
13,8,2013,52.42972222,12699
13,9,2013,51.88340278,12699
13,10,2012,25.88569444,12699
13,10,2013,27.74854167,12699
13,11,2012,25.308125,12699
13,11,2013,27.64118056,12699
13,12,2012,25.253125,12699
14,1,2014,58.48118056,12699
14,2,2014,70.4575,12699
14,3,2013,35.60986111,12699
14,3,2014,71.11701389,12699
14,4,2013,32.26888889,12699
14,4,2014,62.18041667,12699
14,5,2013,57.42979167,12699
14,5,2014,57.27402778,12699
14,6,2013,54.67715278,12699
14,7,2013,53.38708333,12699
14,8,2013,52.39347222,12699
14,9,2013,51.87979167,12699
14,10,2012,25.83486111,12699
14,10,2013,27.74791667,12699
14,11,2012,25.30784722,12699
14,11,2013,27.63215278,12699
14,12,2012,25.23048611,12699
15,1,2014,58.06708333,12699
15,2,2014,70.66569444,12699
15,3,2013,35.51520833,12699
15,3,2014,70.94784722,12699
15,4,2013,32.05708333,12699
15,4,2014,61.79694444,12699
15,5,2013,57.30298611,12699
15,5,2014,57.20472222,12699
15,6,2013,54.62069444,12699
15,7,2013,53.34729167,12699
15,8,2013,52.38736111,12699
15,9,2013,51.87402778,12699
15,10,2012,25.78472222,12699
15,10,2013,27.75354167,12699
15,11,2012,25.30638889,12699
15,11,2013,27.62923611,12699
15,12,2012,25.21770833,12699
16,1,2014,57.36965278,12699
16,2,2014,70.06083333,12699
16,3,2013,35.41604167,12699
16,3,2014,70.80173611,12699
16,4,2013,31.85916667,12699
16,4,2014,61.86861111,12699
16,5,2013,57.17027778,12699
16,5,2014,57.1275,12699
16,6,2013,54.60763889,12699
16,7,2013,53.28840278,12699
16,8,2013,52.34541667,12699
16,9,2013,51.86076389,12699
16,10,2012,25.74680556,12699
16,10,2013,27.73784722,12699
16,11,2012,25.31965278,12699
16,11,2013,27.62368056,12699
16,12,2012,25.22166667,12699
17,1,2014,56.78208333,12699
17,2,2014,69.66041667,12699
17,3,2013,35.30916667,12699
17,3,2014,70.68270833,12699
17,4,2013,31.66966667,12699
17,4,2014,61.46541667,12699
17,5,2013,57.01479167,12699
17,5,2014,57.06194444,12699
17,6,2013,54.53611111,12699
17,7,2013,53.24722222,12699
17,8,2013,52.32416667,12699
17,9,2013,51.83347222,12699
17,10,2012,25.70354167,12699
17,10,2013,27.72194444,12699
17,11,2012,25.33263889,12699
17,11,2013,27.63333333,12699
17,12,2012,25.22368056,12699
18,1,2014,56.29958333,12699
18,2,2014,69.37472222,12699
18,3,2013,35.18263889,12699
18,3,2014,70.67131944,12699
18,4,2013,31.46090278,12699
18,4,2014,61.08715278,12699
18,5,2013,56.94868056,12699
18,5,2014,57.04993056,12699
18,6,2013,54.51305556,12699
18,7,2013,53.25652778,12699
18,8,2013,52.30291667,12699
18,9,2013,51.80347222,12699
18,10,2012,25.689375,12699
18,10,2013,27.71979167,12699
18,11,2012,25.33034722,12699
18,11,2013,27.63430556,12699
18,12,2012,25.23458333,12699
19,1,2014,55.93895833,12699
19,2,2014,69.13604167,12699
19,3,2013,35.06527778,12699
19,3,2014,70.474375,12699
19,4,2013,31.30854167,12699
19,4,2014,60.75930556,12699
19,5,2013,56.87541667,12699
19,5,2014,56.90604167,12699
19,6,2013,54.43666667,12699
19,7,2013,53.23347222,12699
19,8,2013,52.31368056,12699
19,9,2013,51.80291667,12699
19,10,2012,25.661875,12699
19,10,2013,27.718125,12699
19,11,2012,25.35361111,12699
19,11,2013,27.63458333,12699
19,12,2012,25.24763889,12699
20,1,2014,55.60458333,12699
20,2,2014,68.879375,12699
20,3,2013,34.9825,12699
20,3,2014,70.34340278,12699
20,4,2013,31.90666667,12699
20,4,2014,60.45916667,12699
20,5,2013,56.74777778,12699
20,5,2014,56.793125,12699
20,6,2013,54.38569444,12699
20,7,2013,53.19013889,12699
20,8,2013,52.26645833,12699
20,9,2013,51.79611111,12699
20,10,2012,25.62986111,12699
20,10,2013,27.72798611,12699
20,11,2012,25.36673611,12699
20,11,2013,27.63048611,12699
20,12,2012,25.25819444,12699
21,1,2014,55.30916667,12699
21,2,2014,68.634375,12699
21,3,2013,34.95673611,12699
21,3,2014,70.15229167,12699
21,4,2013,32.43493056,12699
21,4,2014,60.17819444,12699
21,5,2013,56.59180556,12699
21,5,2014,56.758125,12699
21,6,2013,54.34291667,12699
21,7,2013,53.17125,12699
21,8,2013,52.22770833,12699
21,9,2013,51.75708333,12699
21,10,2012,25.61006944,12699
21,10,2013,27.72534722,12699
21,11,2012,25.37881944,12699
21,11,2013,27.79041667,12699
21,12,2012,25.26472222,12699
22,1,2014,55.06041667,12699
22,2,2014,68.44215278,12699
22,3,2013,34.9225,12699
22,3,2014,69.91159722,12699
22,4,2013,31.88381944,12699
22,4,2014,59.91444444,12699
22,5,2013,56.44520833,12699
22,5,2014,56.75125,12699
22,6,2013,54.29541667,12699
22,7,2013,53.11173611,12699
22,8,2013,52.22597222,12699
22,9,2013,51.62131944,12699
22,10,2012,25.59340278,12699
22,10,2013,27.69736111,12699
22,11,2012,25.37840278,12699
22,11,2013,28.35833333,12699
22,12,2012,25.27472222,12699
23,1,2014,54.90229167,12699
23,2,2014,68.21263889,12699
23,3,2013,34.82805556,12699
23,3,2014,69.61993056,12699
23,4,2013,31.62583333,12699
23,4,2014,59.65979167,12699
23,5,2013,56.32097222,12699
23,5,2014,56.680625,12699
23,6,2013,54.28055556,12699
23,7,2013,53.03881944,12699
23,8,2013,52.21958333,12699
23,9,2013,51.53458333,12699
23,10,2012,25.54159722,12699
23,10,2013,27.67888889,12699
23,11,2012,25.40020833,12699
23,11,2013,28.49770833,12699
23,12,2012,25.28590278,12699
24,1,2014,54.70583333,12699
24,2,2014,68.020625,12699
24,3,2013,34.70368056,12699
24,3,2014,69.33097222,12699
24,4,2013,31.52263889,12699
24,4,2014,59.55861111,12699
24,5,2013,56.19263889,12699
24,5,2014,56.59520833,12699
24,6,2013,54.22625,12699
24,7,2013,52.97833333,12699
24,8,2013,52.17159722,12699
24,9,2013,51.52055556,12699
24,10,2012,25.51486111,12699
24,10,2013,27.65680556,12699
24,11,2012,25.40256944,12699
24,11,2013,28.49034722,12699
24,12,2012,25.29923611,12699
25,1,2014,54.55555556,12699
25,2,2014,67.76875,12699
25,3,2013,34.57416667,12699
25,3,2014,68.98534722,12699
25,4,2013,59.07986667,12699
25,4,2014,59.38229167,12699
25,5,2013,56.08659722,12699
