Day,Month,Year,mu_20922
1,1,2013,63.6566
1,1,2014,69.90187499999999
1,2,2013,36.12145833333333
1,2,2014,78.97908905228758
1,3,2013,36.39840277777777
1,3,2014,76.92158578431372
1,4,2013,38.076458333333335
1,4,2014,79.39194444444445
1,5,2013,67.24027777777778
1,5,2014,69.48012938596491
1,6,2013,64.04465277777777
1,7,2013,62.12826388888889
1,8,2013,60.933055555555555
1,9,2013,60.43465277777777
1,10,2012,34.88375
1,10,2013,60.362847222222214
1,11,2012,34.57736111111112
1,11,2013,31.05159722222222
1,12,2012,34.19354166666666
1,12,2013,65.16125
2,1,2013,33.29493055555555
2,1,2014,69.79847222222222
2,2,2013,36.20986111111111
2,2,2014,78.78973214285713
2,3,2013,36.35298611111111
2,3,2014,77.1503363801054
2,4,2013,38.03916666666666
2,4,2014,81.31331018518517
2,5,2013,67.07625
2,5,2014,67.24562136848358
2,6,2013,63.929861111111116
2,7,2013,62.07493055555557
2,8,2013,60.90472222222222
2,9,2013,60.40055555555555
2,10,2012,34.802569444444444
2,10,2013,60.401180555555555
2,11,2012,34.587777777777774
2,11,2013,30.988194444444446
2,12,2012,34.141875
2,12,2013,65.04604166666667
3,1,2013,33.335347222222225
3,1,2014,69.43638888888889
3,2,2013,36.28743055555556
3,2,2014,78.81846794871794
3,3,2013,36.331805555555555
3,3,2014,79.26006578947367
3,4,2013,37.95930555555555
3,4,2014,82.05293055555555
3,5,2013,66.92513888888888
3,5,2014,66.91131807081807
3,6,2013,63.812777777777775
3,7,2013,62.00590277777776
3,8,2013,60.85784722222221
3,9,2013,60.41361111111111
3,10,2012,34.7025
3,10,2013,60.45701388888888
3,11,2012,34.59590277777777
3,11,2013,30.990416666666665
3,12,2012,34.094791666666666
3,12,2013,64.986875
4,1,2013,33.35583333333333
4,1,2014,69.09652777777778
4,2,2013,36.34041666666667
4,2,2014,78.94999999999999
4,3,2013,36.29368055555555
4,3,2014,81.81836805555555
4,4,2013,37.902430555555554
4,4,2014,83.55662708792343
4,5,2013,66.77020833333333
4,5,2014,57.29938605351763
4,6,2013,63.724513888888886
4,7,2013,61.966458333333335
4,8,2013,60.85805555555555
4,9,2013,60.40402777777778
4,10,2012,34.630763888888886
4,10,2013,60.484583333333326
4,11,2012,34.59368055555556
4,11,2013,31.01659722222222
4,12,2012,34.03659722222222
4,12,2013,64.93173611111109
5,1,2013,33.36555555555555
5,1,2014,68.64541666666666
5,2,2013,36.371111111111105
5,2,2014,79.63786706349205
5,3,2013,36.27111111111111
5,3,2014,81.44075542239426
5,4,2013,38.021319444444444
5,4,2014,53.29
5,5,2013,66.63361111111111
5,5,2014,47.678666666666665
5,6,2013,63.63576388888889
5,7,2013,61.917569444444446
5,8,2013,60.837361111111115
5,9,2013,60.399861111111115
5,10,2012,34.56034722222222
5,10,2013,60.52423611111111
5,11,2012,34.57833333333333
5,11,2013,31.036944444444444
5,12,2012,33.987222222222215
5,12,2013,64.8590972222222
6,1,2013,33.40381944444444
6,1,2014,70.59909722222221
6,2,2013,36.44277777777778
6,2,2014,78.91093545751633
6,3,2013,36.21847222222222
6,3,2014,81.90254575163398
6,4,2013,38.10902777777777
6,4,2014,77.3292757936508
6,5,2013,66.50736111111111
6,6,2013,63.55770833333333
6,7,2013,61.8525
6,8,2013,60.80027777777778
6,9,2013,60.40979166666666
6,10,2012,34.51701388888889
6,10,2013,60.602777777777774
6,11,2012,34.56236111111111
6,11,2013,31.053819444444446
6,12,2012,33.93013888888889
6,12,2013,64.76249999999999
7,1,2013,33.41159722222222
7,1,2014,73.42930555555554
7,2,2013,36.503819444444446
7,2,2014,79.61673611111111
7,3,2013,36.17056818181818
7,3,2014,81.50145973919871
7,4,2013,38.14173611111111
7,4,2014,79.57313492063493
7,5,2013,66.39486111111111
7,6,2013,63.503125
7,7,2013,61.82555555555556
7,8,2013,60.793055555555554
7,9,2013,60.40965277777778
7,10,2012,34.464166666666664
7,10,2013,60.50430555555556
7,11,2012,34.55229166666666
7,11,2013,31.0775
7,12,2012,33.899791666666665
7,12,2013,64.71284722222221
8,1,2013,33.39895833333333
8,1,2014,74.37715277777778
8,2,2013,36.531875
8,2,2014,79.70916666666665
8,3,2013,36.12409722222222
8,3,2014,81.76143177057148
8,4,2013,38.144305555555555
8,4,2014,81.15145833333334
8,5,2013,66.29819444444445
8,6,2013,63.44354166666666
8,7,2013,61.79194444444444
8,8,2013,60.81715277777778
8,9,2013,60.39118055555555
8,10,2012,34.414652777777775
8,10,2013,60.3754861111111
8,11,2012,34.54958333333333
8,11,2013,31.07701388888889
8,12,2012,33.86214285714286
8,12,2013,64.71895833333333
9,1,2013,33.39694444444444
9,1,2014,75.2348611111111
9,2,2013,36.550694444444446
9,2,2014,79.88102869352869
9,3,2013,36.0475
9,3,2014,82.01383044148832
9,4,2013,38.13027777777778
9,4,2014,76.75589070048309
9,5,2013,66.21833333333333
9,6,2013,63.363333333333344
9,7,2013,61.76347222222222
9,8,2013,60.834097222222226
9,9,2013,60.42652777777778
9,10,2012,34.38236111111111
9,10,2013,60.428124999999994
9,11,2012,34.57472222222222
9,11,2013,31.08895833333333
9,12,2013,64.69486111111111
10,1,2013,33.39680555555555
10,1,2014,75.87645833333332
10,2,2013,36.56104166666666
10,2,2014,79.56418241028295
10,3,2013,36.0775
10,3,2014,83.14840360122969
10,4,2013,38.098819444444445
10,4,2014,76.70254227053141
10,5,2013,66.13930555555555
10,6,2013,63.258472222222224
10,7,2013,61.731249999999996
10,8,2013,60.75673611111112
10,9,2013,60.436458333333334
10,10,2012,34.351597222222225
10,10,2013,60.52874999999999
10,11,2012,34.59777777777777
10,11,2013,31.082916666666666
10,12,2012,33.76923076923077
10,12,2013,64.62256944444444
11,1,2013,33.38256944444444
11,1,2014,76.01784722222223
11,2,2013,36.580625
11,2,2014,80.07257188109162
11,3,2013,36.41819444444444
11,3,2014,83.27387357660454
11,4,2013,38.04659722222222
11,4,2014,67.85833333333333
11,5,2013,66.08055555555555
11,6,2013,63.215694444444445
11,7,2013,61.66986111111112
11,8,2013,60.745625
11,9,2013,60.44756944444444
11,10,2012,34.30319444444444
11,10,2013,60.59965277777778
11,11,2012,34.64465277777777
11,11,2013,31.06833333333333
11,12,2012,33.73638888888889
11,12,2013,64.50170212765957
12,1,2013,33.38798611111111
12,1,2014,76.12666666666667
12,2,2013,36.58402777777778
12,2,2014,79.52031403508772
12,3,2013,36.73361111111112
12,3,2014,83.56457306763284
12,4,2013,38.037499999999994
12,4,2014,77.58031100843601
12,5,2013,66.02145833333333
12,6,2013,63.11125
12,7,2013,61.61465277777777
