"","Day","Month","Year","mu_20918"
"159",10,12,2012,30.0791666666667
"160",10,12,2013,62.9463888888889
"161",11,1,2013,29.8359722222222
"162",11,2,2013,20.4059722222222
"163",11,3,2013,20.5854166666667
"164",11,4,2013,30.0307638888889
"165",11,5,2013,63.780625
"166",11,6,2013,61.063125
"167",11,7,2013,60.3275138888889
"168",11,8,2013,59.8392361111111
"169",11,9,2013,60.308125
"170",11,10,2012,31.4797916666667
"171",11,10,2013,60.2471527777778
"172",11,11,2012,30.5779166666667
"173",11,11,2013,59.5268055555555
"174",11,12,2012,30.0774305555556
"175",11,12,2013,62.8104861111111
"176",12,1,2013,29.8458333333333
"177",12,2,2013,20.3336805555556
"178",12,3,2013,20.5788888888889
"179",12,4,2013,30.0298611111111
"180",12,5,2013,63.705625
"181",12,6,2013,60.99875
"182",12,7,2013,60.2810083333333
"183",12,8,2013,59.83875
"184",12,9,2012,32.9626923076923
"185",12,9,2013,60.33
"186",12,10,2012,31.3967361111111
"187",12,10,2013,60.2470833333333
"188",12,11,2012,30.5721527777778
"189",12,11,2013,59.49875
"190",12,12,2012,30.0739583333333
"191",12,12,2013,62.6793055555556
"192",13,1,2013,29.8532638888889
"193",13,2,2013,20.3133333333333
"194",13,3,2013,20.5680555555556
"195",13,4,2013,30.0239583333333
"196",13,5,2013,63.6088888888889
"197",13,6,2013,60.9563194444444
"198",13,7,2013,60.2404916666667
"199",13,8,2013,59.8364583333333
"200",13,9,2012,32.930625
"201",13,9,2013,60.3580555555556
"202",13,10,2012,31.3071527777778
"203",13,10,2013,60.2704166666667
"204",13,11,2012,30.5611111111111
"205",13,11,2013,59.4810416666667
"206",13,12,2012,30.0826388888889
"207",13,12,2013,62.5754861111111
"208",14,1,2013,29.8519444444444
"209",14,2,2013,20.3565277777778
"210",14,3,2013,29.8560694444444
"211",14,4,2013,30.0290972222222
"212",14,5,2013,63.4588888888889
"213",14,6,2013,60.9125
"214",14,7,2013,60.232275
"215",14,8,2013,59.8568055555556
"216",14,9,2012,32.8802083333333
"217",14,9,2013,60.3876388888889
"218",14,10,2012,31.2229861111111
"219",14,10,2013,60.2043055555556
"220",14,11,2012,30.5488194444444
"221",14,11,2013,59.4624305555556
"222",14,12,2012,30.0706944444444
"223",14,12,2013,62.5565972222222
"224",15,1,2013,31.1731944444444
"225",15,2,2013,20.4640277777778
"226",15,3,2013,29.866875
"227",15,4,2013,30.031875
"228",15,5,2013,63.3132638888889
"229",15,6,2013,60.8744444444444
"230",15,7,2013,60.2216722222222
"231",15,8,2013,59.8817361111111
"232",15,9,2012,32.8308333333333
"233",15,9,2013,60.4291666666667
"234",15,10,2012,31.1313888888889
"235",15,10,2013,60.1747916666667
"236",15,11,2012,30.5390972222222
"237",15,11,2013,59.4061111111111
"238",15,12,2012,30.0530555555556
"239",15,12,2013,62.5763194444445
"240",16,1,2013,30.4675
"241",16,2,2013,20.5732638888889
"242",16,3,2013,29.8797916666667
"243",16,4,2013,30.0326388888889
"244",16,5,2013,63.1715277777778
"245",16,6,2013,60.8559027777778
"246",16,7,2013,60.1756805555556
"247",16,8,2013,59.8822222222222
"248",16,9,2012,32.7832638888889
"249",16,9,2013,60.4606944444444
"250",16,10,2012,31.0406944444444
"251",16,10,2013,60.1998611111111
"252",16,11,2012,30.5277083333333
"253",16,11,2013,59.3320138888889
"254",16,12,2012,30.0353472222222
"255",16,12,2013,62.5969444444444
"256",17,1,2013,30.1338888888889
"257",17,2,2013,20.6299305555556
"258",17,3,2013,29.8751388888889
"259",17,4,2013,30.0353472222222
"260",17,5,2013,63.0275694444444
"261",17,6,2013,60.8238888888889
"262",17,7,2013,60.153225
"263",17,8,2013,59.895625
"264",17,9,2012,32.734375
"265",17,9,2013,60.4697222222222
"266",17,10,2012,30.9513194444444
"267",17,10,2013,60.2410416666667
"268",17,11,2012,30.508125
"269",17,11,2013,59.2723611111111
"270",17,12,2012,30.0195138888889
"271",17,12,2013,62.5772222222222
"272",18,1,2013,30.0206730769231
"273",18,2,2013,20.7355555555556
"274",18,3,2013,29.8764583333333
"275",18,4,2013,30.0402083333333
"276",18,5,2013,62.9184027777778
"277",18,6,2013,60.8079861111111
"278",18,7,2013,60.1596305555556
"279",18,8,2013,59.9180555555556
"280",18,9,2012,32.6823611111111
"281",18,9,2013,60.4728472222222
"282",18,10,2012,30.8994444444444
"283",18,10,2013,60.2582638888889
"284",18,11,2012,30.4957638888889
"285",18,11,2013,59.21875
"286",18,12,2012,30.0082638888889
"287",18,12,2013,62.5071527777778
"288",19,1,2013,20.1242361111111
"289",19,2,2013,20.8516666666667
"290",19,3,2013,29.8934722222222
"291",19,4,2013,30.0421527777778
"292",19,5,2013,62.8384722222222
"293",19,6,2013,60.7495138888889
"294",19,7,2013,60.1552722222222
"295",19,8,2013,59.9477777777778
"296",19,9,2012,32.6379861111111
"297",19,9,2013,60.5011111111111
"298",19,10,2012,30.8529166666667
"299",19,10,2013,60.2274305555556
"300",19,11,2012,30.4922222222222
"301",19,11,2013,59.1434722222222
"302",19,12,2012,29.9974305555556
"303",19,12,2013,62.4298611111111
"304",20,1,2013,20.1819444444444
"305",20,2,2013,20.8773611111111
"306",20,3,2013,29.9015277777778
"307",20,4,2013,30.0238888888889
"308",20,5,2013,62.7295833333333
"309",20,6,2013,60.7130555555556
"310",20,7,2013,60.1289388888889
"311",20,8,2013,59.9327083333333
"312",20,9,2012,32.5915277777778
"313",20,9,2013,60.5265277777778
"314",20,10,2012,30.8158333333333
"315",20,10,2013,60.1722916666667
"316",20,11,2012,30.4758333333333
"317",20,11,2013,59.0821527777778
"318",20,12,2012,29.9815277777778
"319",20,12,2013,62.3771527777778
"320",21,1,2013,20.2574305555556
"321",21,2,2013,20.8867361111111
"322",21,3,2013,29.9300694444444
"323",21,4,2013,30.0386111111111
"324",21,5,2013,62.5863194444444
"325",21,6,2013,60.6882638888889
"326",21,7,2013,60.1422472222222
"327",21,8,2013,59.9404861111111
"328",21,9,2012,32.5575694444444
"329",21,9,2013,60.5278472222222
"330",21,10,2012,30.7897916666667
"331",21,10,2013,60.1670833333333
"332",21,11,2012,30.4539583333333
"333",21,11,2013,62.125625
"334",21,12,2012,29.9650694444444
"335",21,12,2013,62.2971527777778
"336",22,1,2013,20.3030666666667
"337",22,2,2013,20.9036111111111
"338",22,3,2013,29.953125
"339",22,4,2013,30.0446527777778
"340",22,5,2013,62.4411111111111
"341",22,6,2013,60.6595138888889
"342",22,7,2013,60.1218138888889
"343",22,8,2013,60.0038194444444
"344",22,9,2012,32.5224305555556
"345",22,9,2013,60.4223611111111
"346",22,10,2012,30.7727083333333
"347",22,10,2013,60.1184027777778
"348",22,11,2012,30.4480555555556
"349",22,11,2013,64.7808333333333
"350",22,12,2012,29.9443055555556
"351",22,12,2013,62.1774305555556
"352",23,1,2013,20.3581884057971
"353",23,2,2013,20.9134057971014
"354",23,3,2013,29.9641666666667
"355",23,4,2013,30.0465942028986
"356",23,5,2013,62.3086111111111
"357",23,6,2013,60.6473611111111
"358",23,7,2013,60.069625
"359",23,8,2013,60.0123611111111
"360",23,9,2012,32.4845138888889
"361",23,9,2013,60.3683333333333
"362",23,10,2012,30.7351388888889
"363",23,10,2013,60.0329861111111
"364",23,11,2012,30.4433333333333
"365",23,11,2013,64.7471527777778
"366",23,12,2012,29.9167361111111
"367",23,12,2013,62.0825694444444
"368",24,1,2013,20.3952898550725
"369",24,2,2013,20.9129166666667
"370",24,3,2013,29.9713194444444
"371",24,4,2013,30.0378472222222
"372",24,5,2013,62.1749305555555
"373",24,6,2013,60.6227083333333
"374",24,7,2013,60.0461638888889
"375",24,8,2013,60.0066824494949
"376",24,9,2012,32.4515277777778
"377",24,9,2013,60.3585416666667
"378",24,10,2012,30.7149305555556
"379",24,10,2013,59.9845833333333
"380",24,11,2012,30.4102777777778
"381",24,11,2013,64.4414583333333
"382",24,12,2012,29.8828472222222
"383",24,12,2013,61.9892361111111
"384",25,1,2013,20.4332
"385",25,2,2013,20.9183333333333
"386",25,3,2013,29.9761805555556
"387",25,4,2013,64.6442666666667
"388",25,5,2013,62.0388194444444
"389",25,6,2013,60.605
"390",25,7,2013,60.0522222222222
"391",25,9,2012,32.4093055555555
"392",25,9,2013,60.4023611111111
"393",25,10,2012,30.6960416666667
"394",25,10,2013,59.9831944444444
"395",25,11,2012,30.3799305555556
"396",25,11,2013,64.2358333333333
"397",25,12,2012,29.8470833333333
"398",25,12,2013,61.8822916666667
"399",26,1,2013,20.4700694444444
"400",26,2,2013,20.9159722222222
"401",26,3,2013,29.9820833333333
"402",26,4,2013,64.6398245614035
"403",26,5,2013,61.9285416666667
"404",26,6,2013,60.6046527777778
"405",26,7,2013,60.0212388888889
"406",26,9,2012,32.3666666666667
"407",26,9,2013,60.4465277777778
"408",26,10,2012,30.6746527777778
"409",26,10,2013,60.0029166666667
"410",26,11,2012,30.3690277777778
"411",26,11,2013,64.1309722222222
"412",26,12,2012,29.8228472222222
"413",26,12,2013,61.75625
"414",27,1,2013,20.5032638888889
"415",27,2,2013,20.8567361111111
"416",27,3,2013,29.9853472222222
"417",27,4,2013,64.6319444444444
"418",27,5,2013,61.8308333333333
"419",27,6,2013,60.5931944444444
"420",27,7,2013,60.0037277777778
"421",27,9,2012,32.32
"422",27,9,2013,60.4874305555555
"423",27,10,2012,30.6500694444444
"424",27,10,2013,59.9995138888889
"425",27,11,2012,30.3534027777778
"426",27,11,2013,64.0813888888889
"427",27,12,2012,29.8194444444444
"428",27,12,2013,61.6025
"429",28,1,2013,20.525
"430",28,2,2013,20.7607638888889
"431",28,3,2013,29.9957638888889
"432",28,4,2013,64.6211111111111
"433",28,5,2013,61.7477083333333
"434",28,6,2013,60.6190972222222
"435",28,7,2013,59.9947305555556
"436",28,9,2012,32.2729166666667
"437",28,9,2013,60.5084722222222
"438",28,10,2012,30.6325694444444
"439",28,10,2013,59.9961805555556
"440",28,11,2012,30.3280555555556
"441",28,11,2013,64.0509523809524
"442",28,12,2012,29.8209027777778
"443",28,12,2013,61.55375
"444",29,1,2013,20.5515972222222
"445",29,3,2013,30.0041666666667
"446",29,4,2013,64.6130555555555
"447",29,5,2013,61.7098611111111
"448",29,6,2013,60.6039583333333
"449",29,7,2013,59.98985
"450",29,9,2012,32.2197916666667
"451",29,9,2013,60.4361111111111
"452",29,10,2012,30.6299305555556
"453",29,10,2013,60.0002777777778
"454",29,11,2012,30.2991666666667
"455",29,12,2012,29.8122916666667
"456",29,12,2013,61.5068055555556
"457",30,1,2013,20.5789583333333
"458",30,3,2013,30.0134722222222
"459",30,4,2013,64.6090376984127
"460",30,5,2013,61.6477083333333
"461",30,6,2013,60.5738194444444
"462",30,7,2013,59.9359361111111
"463",30,9,2012,32.169375
"464",30,9,2013,60.3242178362573
"465",30,10,2012,30.6285416666667
"466",30,10,2013,60.0129166666667
"467",30,11,2012,30.2650694444444
"468",30,12,2012,29.7961805555556
"469",30,12,2013,61.4781944444444
"470",31,1,2013,20.5967361111111
"471",31,3,2013,30.0210416666667
"472",31,5,2013,61.5890277777778
"473",31,7,2013,59.9088134057971
"474",31,10,2012,30.618125
"475",31,10,2013,60.036370644465
"476",31,12,2012,29.7852777777778
"477",31,12,2013,61.4186111111111
