Day,Month,Year,mu_20916
23,6,2013,75.323125
23,7,2013,73.97118055555555
23,8,2013,73.08152777777778
23,9,2012,40.63118055555555
23,9,2013,41.28993055555556
23,10,2012,41.30479166666667
23,10,2013,72.82236243386242
23,11,2012,41.61916666666666
23,11,2013,76.36821256038647
23,12,2012,41.83034722222222
24,1,2013,28.290277777777778
24,1,2014,79.37159722222222
24,2,2013,29.65
24,3,2013,43.9511111111111
24,4,2013,43.715624999999996
24,5,2013,76.73777777777778
24,6,2013,75.27430555555554
24,7,2013,73.92930555555554
24,8,2013,73.07093548387097
24,9,2012,40.68840277777778
24,9,2013,41.31986111111111
24,10,2012,41.305833333333325
24,10,2013,72.42571830701978
24,11,2012,41.63229166666666
24,11,2013,78.84987103174602
24,12,2012,41.84631944444445
25,1,2013,28.385624999999997
25,1,2014,79.27298611111111
25,2,2013,29.66513888888889
25,3,2013,43.94875
25,4,2013,68.95596153846152
25,5,2013,76.68868055555555
25,6,2013,75.20479166666667
25,7,2013,73.93472222222222
25,9,2012,40.718333333333334
25,9,2013,41.318749999999994
25,10,2012,41.297152777777775
25,10,2013,72.46978903065744
25,11,2012,41.64041666666667
25,11,2013,78.69499442959001
25,12,2012,41.86458333333333
26,1,2013,28.473333333333333
26,1,2014,79.18368055555555
26,2,2013,29.675625
26,3,2013,43.94604166666666
26,4,2013,68.96541666666667
26,5,2013,76.648125
26,6,2013,75.15194444444444
26,7,2013,73.86173611111111
26,9,2012,40.76368055555555
26,9,2013,41.31159722222222
26,10,2012,41.285694444444445
26,10,2013,40.916030595813204
26,11,2012,41.65125
26,11,2013,78.05670742753622
26,12,2012,41.872638888888886
27,1,2013,28.56354166666667
27,1,2014,79.27034722222221
27,2,2013,29.68145833333333
27,3,2013,43.943263888888886
27,4,2013,68.94583333333333
27,5,2013,76.61027777777778
27,6,2013,75.10569444444444
27,7,2013,73.80805555555554
27,9,2012,40.80215277777777
27,9,2013,41.304583333333326
27,10,2012,41.26659722222222
27,10,2013,40.875882936507935
27,11,2012,41.66180555555555
27,11,2013,78.1407520399464
27,12,2012,41.89298611111111
28,1,2013,28.640833333333337
28,1,2014,85.94479166666667
28,2,2013,29.685694444444444
28,3,2013,43.94493055555555
28,4,2013,68.9334722222222
28,5,2013,76.57784722222223
28,6,2013,75.08770833333332
28,7,2013,73.76694444444445
28,9,2012,40.83965277777777
28,9,2013,41.288124999999994
28,10,2012,41.25270833333333
28,10,2013,41.078763888888886
28,11,2012,41.65347222222222
28,11,2013,67.31732919254658
28,12,2012,41.91083333333333
29,1,2013,28.719861111111108
29,1,2014,85.22444444444444
29,3,2013,43.94013888888888
29,4,2013,68.93069444444444
29,5,2013,76.57555555555555
29,6,2013,75.03472222222221
29,7,2013,73.75631944444444
29,9,2012,40.87555555555555
29,9,2013,41.16236111111111
29,10,2012,41.265763888888884
29,10,2013,41.25266269841269
29,11,2012,41.66284722222222
29,11,2013,40.10813034188034
29,12,2012,41.92124999999999
30,1,2013,28.798402777777774
30,1,2014,82.96347222222221
30,3,2013,43.94294871794871
30,4,2013,68.92208333333333
30,5,2013,76.51980392156862
30,6,2013,74.97020833333332
30,7,2013,73.67680555555555
30,9,2012,40.91430555555556
30,9,2013,72.23951201201201
30,10,2012,41.27819444444444
30,10,2013,40.8856658496732
30,11,2012,41.65541666666667
30,11,2013,77.40838525132276
30,12,2012,41.933680555555554
31,1,2013,28.86618055555556
31,1,2014,84.08579710144926
31,3,2013,43.932291666666664
31,5,2013,76.47999999999999
31,7,2013,73.62963768115941
31,10,2012,41.27097222222222
31,10,2013,40.763059210526315
31,12,2012,41.945902777777775
