 ******* Program HYDRUS
 ******* 
 infiltration of water to soil                                           
 Date:  27. 4.    Time:  20:41:50
 Units: L = cm   , T = hours, M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  12   -38.9449      -6.459 0.4896   0.4887E+00  0.2286E-02  0.2193E-01  0.0000E+00      -1   0.146E-01   20.00
  13   -44.8162      -0.273 0.4966   0.2489E+00  0.1534E-01  0.9570E-02  0.0000E+00      -1   0.638E-02   20.00
  14   -51.0760       5.986 0.5000   0.1000E+01  0.0000E+00 -0.9284E-05  0.0000E+00      -1  -0.619E-05   20.00
  15   -57.7243      12.635 0.5000   0.1000E+01  0.0000E+00 -0.9269E-05  0.0000E+00      -1  -0.618E-05   20.00
  16   -64.7611      19.671 0.5000   0.1000E+01  0.0000E+00 -0.9117E-05  0.0000E+00      -1  -0.608E-05   20.00
  17   -72.1863      27.097 0.5000   0.1000E+01  0.0000E+00 -0.9761E-05  0.0000E+00      -1  -0.651E-05   20.00
  18   -80.0000      34.910 0.5029   0.5637E+01  0.0000E+00 -0.9644E-05  0.0000E+00      -1  -0.643E-05   20.00
  19   -82.9087      37.819 0.5029   0.5637E+01  0.0000E+00 -0.1012E-04  0.0000E+00      -1  -0.675E-05   20.00
  20   -86.3543      41.265 0.5029   0.5637E+01  0.0000E+00 -0.1441E-04  0.0000E+00      -1  -0.961E-05   20.00
  21   -90.3368      45.247 0.5029   0.5637E+01  0.0000E+00 -0.1773E-04  0.0000E+00      -1  -0.118E-04   20.00
  22   -94.8560      49.766 0.5029   0.5637E+01  0.0000E+00 -0.1578E-04  0.0000E+00      -1  -0.105E-04   20.00
  23   -99.9122      54.822 0.5029   0.5637E+01  0.0000E+00 -0.1206E-04  0.0000E+00      -1  -0.804E-05   20.00
  24  -105.5050      60.415 0.5029   0.5637E+01  0.0000E+00 -0.1090E-04  0.0000E+00      -1  -0.726E-05   20.00
  25  -111.6350      66.545 0.5029   0.5637E+01  0.0000E+00 -0.8315E-05  0.0000E+00      -1  -0.554E-05   20.00
  26  -118.3020      73.212 0.5029   0.5637E+01  0.0000E+00 -0.6209E-05  0.0000E+00      -1  -0.414E-05   20.00
  27  -125.5050      80.415 0.5029   0.5637E+01  0.0000E+00 -0.5873E-05  0.0000E+00      -1  -0.392E-05   20.00
  28  -133.2450      88.155 0.5029   0.5637E+01  0.0000E+00 -0.8142E-05  0.0000E+00      -1  -0.543E-05   20.00
  29  -141.5230      96.433 0.5029   0.5637E+01  0.0000E+00 -0.1267E-04  0.0000E+00      -1  -0.844E-05   20.00
  30  -150.3370     105.247 0.5029   0.5637E+01  0.0000E+00 -0.1426E-04  0.0000E+00      -1  -0.951E-05   20.00
  31  -159.6880     114.598 0.5029   0.5637E+01  0.0000E+00 -0.1118E-04  0.0000E+00      -1  -0.746E-05   20.00
  32  -169.5750     124.485 0.5029   0.5637E+01  0.0000E+00 -0.6321E-05  0.0000E+00      -1  -0.421E-05   20.00
  33  -180.0000     134.910 0.5029   0.5637E+01  0.0000E+00 -0.4032E-05  0.0000E+00      -1  -0.269E-05   20.00
end
