  theta         h        log h        C             K        log K          S          Kv
 
  0.5000  -0.318E-02 -0.2497E+01  0.5666E-04  0.1471E+01  0.1676E+00    1.0000  0.3681E-30
  0.5000  -0.394E-02 -0.2405E+01  0.6304E-04  0.1468E+01  0.1666E+00    1.0000  0.1422E-29
  0.5000  -0.487E-02 -0.2312E+01  0.7013E-04  0.1464E+01  0.1656E+00    1.0000  0.3710E-29
  0.5000  -0.603E-02 -0.2219E+01  0.7803E-04  0.1460E+01  0.1644E+00    1.0000  0.7806E-29
  0.5000  -0.747E-02 -0.2127E+01  0.8682E-04  0.1456E+01  0.1630E+00    1.0000  0.2396E-28
  0.5000  -0.925E-02 -0.2034E+01  0.9659E-04  0.1451E+01  0.1615E+00    1.0000  0.7868E-28
  0.5000  -0.114E-01 -0.1941E+01  0.1075E-03  0.1445E+01  0.1599E+00    1.0000  0.2415E-27
  0.5000  -0.142E-01 -0.1849E+01  0.1196E-03  0.1439E+01  0.1580E+00    1.0000  0.6684E-27
  0.5000  -0.175E-01 -0.1756E+01  0.1330E-03  0.1432E+01  0.1560E+00    1.0000  0.1901E-26
  0.5000  -0.217E-01 -0.1663E+01  0.1480E-03  0.1425E+01  0.1537E+00    1.0000  0.5626E-26
  0.5000  -0.269E-01 -0.1571E+01  0.1647E-03  0.1416E+01  0.1511E+00    1.0000  0.1682E-25
  0.5000  -0.333E-01 -0.1478E+01  0.1832E-03  0.1407E+01  0.1483E+00    1.0000  0.4687E-25
  0.5000  -0.412E-01 -0.1385E+01  0.2038E-03  0.1397E+01  0.1451E+00    1.0000  0.1379E-24
  0.5000  -0.510E-01 -0.1292E+01  0.2268E-03  0.1385E+01  0.1415E+00    1.0000  0.3961E-24
  0.5000  -0.631E-01 -0.1200E+01  0.2523E-03  0.1373E+01  0.1376E+00    1.0000  0.1159E-23
  0.5000  -0.781E-01 -0.1107E+01  0.2807E-03  0.1359E+01  0.1331E+00    1.0000  0.3360E-23
  0.5000  -0.967E-01 -0.1014E+01  0.3123E-03  0.1343E+01  0.1281E+00    0.9999  0.9823E-23
  0.5000  -0.120E+00 -0.9217E+00  0.3475E-03  0.1326E+01  0.1226E+00    0.9999  0.2855E-22
  0.5000  -0.148E+00 -0.8290E+00  0.3865E-03  0.1307E+01  0.1163E+00    0.9999  0.8293E-22
  0.5000  -0.184E+00 -0.7364E+00  0.4300E-03  0.1286E+01  0.1093E+00    0.9999  0.2412E-21
  0.4999  -0.227E+00 -0.6437E+00  0.4783E-03  0.1263E+01  0.1015E+00    0.9998  0.7008E-21
  0.4999  -0.281E+00 -0.5510E+00  0.5320E-03  0.1238E+01  0.9266E-01    0.9997  0.2036E-20
  0.4999  -0.348E+00 -0.4583E+00  0.5917E-03  0.1210E+01  0.8274E-01    0.9996  0.5912E-20
  0.4998  -0.431E+00 -0.3656E+00  0.6580E-03  0.1179E+01  0.7157E-01    0.9995  0.1717E-19
  0.4998  -0.533E+00 -0.2729E+00  0.7316E-03  0.1145E+01  0.5898E-01    0.9993  0.4984E-19
  0.4997  -0.660E+00 -0.1802E+00  0.8131E-03  0.1109E+01  0.4475E-01    0.9991  0.1447E-18
  0.4995  -0.817E+00 -0.8755E-01  0.9034E-03  0.1068E+01  0.2865E-01    0.9987  0.4196E-18
  0.4993  -0.101E+01  0.5141E-02  0.1003E-02  0.1024E+01  0.1040E-01    0.9983  0.1216E-17
  0.4991  -0.125E+01  0.9783E-01  0.1113E-02  0.9765E+00 -0.1034E-01    0.9976  0.3519E-17
  0.4987  -0.155E+01  0.1905E+00  0.1234E-02  0.9248E+00 -0.3396E-01    0.9967  0.1017E-16
  0.4983  -0.192E+01  0.2832E+00  0.1366E-02  0.8691E+00 -0.6093E-01    0.9955  0.2931E-16
  0.4976  -0.238E+01  0.3759E+00  0.1510E-02  0.8094E+00 -0.9181E-01    0.9938  0.8425E-16
  0.4967  -0.294E+01  0.4686E+00  0.1665E-02  0.7460E+00 -0.1273E+00    0.9915  0.2411E-15
  0.4955  -0.364E+01  0.5613E+00  0.1829E-02  0.6790E+00 -0.1681E+00    0.9884  0.6863E-15
  0.4938  -0.451E+01  0.6540E+00  0.2000E-02  0.6091E+00 -0.2153E+00    0.9841  0.1938E-14
  0.4916  -0.558E+01  0.7466E+00  0.2174E-02  0.5371E+00 -0.2700E+00    0.9784  0.5417E-14
  0.4886  -0.691E+01  0.8393E+00  0.2343E-02  0.4641E+00 -0.3334E+00    0.9707  0.1493E-13
  0.4846  -0.855E+01  0.9320E+00  0.2499E-02  0.3917E+00 -0.4071E+00    0.9605  0.4042E-13
  0.4794  -0.106E+02  0.1025E+01  0.2629E-02  0.3215E+00 -0.4928E+00    0.9471  0.1068E-12
  0.4726  -0.131E+02  0.1117E+01  0.2717E-02  0.2557E+00 -0.5923E+00    0.9298  0.2740E-12
  0.4641  -0.162E+02  0.1210E+01  0.2748E-02  0.1962E+00 -0.7073E+00    0.9079  0.6765E-12
  0.4535  -0.201E+02  0.1303E+01  0.2710E-02  0.1447E+00 -0.8396E+00    0.8809  0.1596E-11
  0.4408  -0.249E+02  0.1395E+01  0.2594E-02  0.1022E+00 -0.9905E+00    0.8484  0.3567E-11
  0.4260  -0.308E+02  0.1488E+01  0.2404E-02  0.6910E-01 -0.1161E+01    0.8105  0.7503E-11
  0.4094  -0.381E+02  0.1581E+01  0.2154E-02  0.4468E-01 -0.1350E+01    0.7678  0.1478E-10
  0.3912  -0.472E+02  0.1674E+01  0.1865E-02  0.2769E-01 -0.1558E+01    0.7212  0.2718E-10
  0.3720  -0.584E+02  0.1766E+01  0.1565E-02  0.1651E-01 -0.1782E+01    0.6721  0.4669E-10
  0.3524  -0.723E+02  0.1859E+01  0.1276E-02  0.9511E-02 -0.2022E+01    0.6218  0.7511E-10
  0.3328  -0.895E+02  0.1952E+01  0.1014E-02  0.5322E-02 -0.2274E+01    0.5717  0.1137E-09
  0.3138  -0.111E+03  0.2044E+01  0.7900E-03  0.2908E-02 -0.2536E+01    0.5229  0.1629E-09
  0.2956  -0.137E+03  0.2137E+01  0.6049E-03  0.1559E-02 -0.2807E+01    0.4763  0.2223E-09
  0.2784  -0.170E+03  0.2230E+01  0.4572E-03  0.8232E-03 -0.3085E+01    0.4324  0.2907E-09
  0.2625  -0.210E+03  0.2322E+01  0.3420E-03  0.4298E-03 -0.3367E+01    0.3916  0.3664E-09
  0.2478  -0.260E+03  0.2415E+01  0.2539E-03  0.2225E-03 -0.3653E+01    0.3539  0.4477E-09
  0.2343  -0.322E+03  0.2508E+01  0.1873E-03  0.1144E-03 -0.3942E+01    0.3194  0.5324E-09
  0.2220  -0.398E+03  0.2600E+01  0.1377E-03  0.5856E-04 -0.4232E+01    0.2879  0.6190E-09
