 ******* Program HYDRUS
 ******* 
 infiltration of water to soil                                           
 Date:  27. 4.    Time:  20:41:50
 Units: L = cm   , T = hours, M = mmol 



                               Node( 10)                      Node( 15)                      Node( 21)                      Node( 26)                      Node( 30)                      Node( 33)

         time         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp   
         28.0000      -16.31  0.4638  0.298E-01         13.64  0.5000 -0.939E-05         46.25  0.5029 -0.175E-04         74.22  0.5029 -0.622E-05        106.25  0.5029 -0.143E-04        135.92  0.5029 -0.403E-05
         29.0000      -17.22  0.4613  0.295E-01         12.89  0.5000 -0.933E-05         45.50  0.5029 -0.175E-04         73.47  0.5029 -0.622E-05        105.50  0.5029 -0.143E-04        135.16  0.5029 -0.403E-05
         30.0000      -17.91  0.4595  0.333E-01         12.70  0.5000 -0.933E-05         45.31  0.5029 -0.175E-04         73.28  0.5029 -0.622E-05        105.31  0.5029 -0.143E-04        134.97  0.5029  0.000E+00
         31.0000      -18.44  0.4580  0.362E-01         12.48  0.5000 -0.924E-05         45.09  0.5029 -0.175E-04         73.06  0.5029 -0.622E-05        105.09  0.5029 -0.143E-04        134.76  0.5029 -0.403E-05
         32.0000      -18.92  0.4567  0.385E-01         12.25  0.5000 -0.930E-05         44.86  0.5029 -0.175E-04         72.83  0.5029 -0.622E-05        104.86  0.5029 -0.143E-04        134.52  0.5029 -0.403E-05
         33.0000      -19.37  0.4555  0.401E-01         12.01  0.5000 -0.933E-05         44.62  0.5029 -0.175E-04         72.58  0.5029 -0.622E-05        104.62  0.5029 -0.143E-04        134.28  0.5029  0.000E+00
         34.0000      -19.79  0.4543  0.410E-01         11.75  0.5000 -0.933E-05         44.36  0.5029 -0.175E-04         72.33  0.5029 -0.622E-05        104.36  0.5029 -0.143E-04        134.03  0.5029  0.000E+00
         35.0000      -20.19  0.4532  0.415E-01         11.49  0.5000 -0.927E-05         44.10  0.5029 -0.175E-04         72.06  0.5029 -0.622E-05        104.10  0.5029 -0.143E-04        133.76  0.5029  0.000E+00
         36.0000      -20.58  0.4522  0.417E-01         11.21  0.5000 -0.930E-05         43.82  0.5029 -0.152E-04         71.79  0.5029 -0.622E-05        103.82  0.5029 -0.143E-04        133.48  0.5029  0.000E+00
         37.0000      -20.95  0.4512  0.416E-01         10.92  0.5000 -0.927E-05         43.54  0.5029 -0.152E-04         71.50  0.5029 -0.622E-05        103.54  0.5029 -0.143E-04        133.20  0.5029  0.000E+00
         38.0000      -21.32  0.4502  0.414E-01         10.63  0.5000 -0.924E-05         43.24  0.5029 -0.152E-04         71.21  0.5029 -0.622E-05        103.24  0.5029 -0.143E-04        132.90  0.5029  0.000E+00
         39.0000      -21.69  0.4493  0.410E-01         10.32  0.5000 -0.924E-05         42.93  0.5029 -0.152E-04         70.90  0.5029 -0.622E-05        102.93  0.5029 -0.143E-04        132.60  0.5029 -0.403E-05
         40.0000      -22.05  0.4483  0.405E-01         10.01  0.5000 -0.921E-05         42.62  0.5029 -0.152E-04         70.59  0.5029 -0.797E-05        102.62  0.5029 -0.143E-04        132.29  0.5029 -0.403E-05
         41.0000      -22.40  0.4473  0.398E-01          9.69  0.5000 -0.912E-05         42.30  0.5029 -0.152E-04         70.26  0.5029 -0.622E-05        102.30  0.5029 -0.143E-04        131.96  0.5029  0.000E+00
         42.0000      -22.76  0.4464  0.391E-01          9.36  0.5000 -0.909E-05         41.98  0.5029 -0.152E-04         69.94  0.5029 -0.797E-05        101.98  0.5029 -0.143E-04        131.64  0.5029 -0.403E-05
